strain	serotype	genotype	date	region	country	division	locate	host	passage	specimen	additional host information	sequencing technology	assembly method	comment	comment type
EPI_ISL_15417935	DENV2	II-Cosmopolitan	2017-09-05	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417936	DENV2	II-Cosmopolitan	2017-09-05	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417937	DENV2	II-Cosmopolitan	2017-09-05	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417938	DENV2	II-Cosmopolitan	2017-09-05	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417939	DENV2	II-Cosmopolitan	2017-09-03	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417940	DENV2	IV-AsianII	2017-09-03	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417941	DENV2	IV-AsianII	2017-09-02	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417942	DENV2	II-Cosmopolitan	2017-09-02	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417943	DENV2	II-Cosmopolitan	2017-09-01	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417944	DENV2	II-Cosmopolitan	2017-08-31	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417945	DENV2	IV-AsianII	2017-08-31	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417946	DENV2	IV-AsianII	2017-08-31	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15417947	DENV2	II-Cosmopolitan	2017-08-30	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15419452	DENV2	IV-AsianII	2017-08-30	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15420000	DENV2	II-Cosmopolitan	2017-08-29	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15420001	DENV2	II-Cosmopolitan	2017-08-29	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15420002	DENV2	II-Cosmopolitan	2017-08-29	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15420003	DENV2	II-Cosmopolitan	2017-08-29	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15420004	DENV2	IV-AsianII	2017-08-28	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15420005	DENV2	II-Cosmopolitan	2017-08-28	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15420006	DENV2	II-Cosmopolitan	2017-08-24	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15420007	DENV2	II-Cosmopolitan	2017-08-22	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15420008	DENV2	II-Cosmopolitan	2017-07-02	Asia	China	Zhejiang		Human	Original	Serum		Nanopore	artic v. v1.2.1		
EPI_ISL_15732740	DENV2	II-Cosmopolitan	2022-10-18	Asia	Pakistan			Human	Original	Serum		Illumina	Geneious v. V4.5		
EPI_ISL_15733266	DENV2	II-Cosmopolitan	2022-09-30	Asia	Pakistan			Human	Original	Serum		Illumina	Geneious v. V4.5		
EPI_ISL_15733891	DENV2	II-Cosmopolitan	2022-09-28	Asia	Pakistan			Human	Original	Serum		Illumina	Geneious v. V4.5		
EPI_ISL_15737306	DENV2	II-Cosmopolitan	2022-09-13	Asia	Pakistan			Human	Original	Serum		Illumina	Geneious v. V4.5		
EPI_ISL_15738309	DENV2	II-Cosmopolitan	2022-04-28	Asia	Pakistan			Human	Original	Serum		Illumina	Geneious v. V4.5		
EPI_ISL_15739460	DENV2	II-Cosmopolitan	2022-04-28	Asia	Pakistan			Human	Original	Serum		Illumina	Geneious v. V4.5		
EPI_ISL_15739461	DENV2	II-Cosmopolitan	2022-04-27	Asia	Pakistan			Human	Original	Serum		Illumina	Geneious v. V4.5		
EPI_ISL_15739462	DENV2	II-Cosmopolitan	2022-04-27	Asia	Pakistan			Human	Original	Serum		Illumina	Geneious v. V4.5		
EPI_ISL_15952841	DENV2	II-Cosmopolitan	2022-07-27	Asia	India			Human	Original	Serum		Illumina	BWA-MEM v. 0.7.17		
EPI_ISL_15997588	DENV2	II-Cosmopolitan	2022-11-03	South America	Brazil	Amazonas	Tabatinga	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997589	DENV2	II-Cosmopolitan	2022-11-02	South America	Brazil	Amazonas	Tabatinga	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997590	DENV2	II-Cosmopolitan	2022-11-06	South America	Brazil	Amazonas	Sao Paulo de Olivenca	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997591	DENV2	II-Cosmopolitan	2022-10-24	South America	Brazil	Amazonas	Benjamin Constant	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997592	DENV2	II-Cosmopolitan	2022-10-24	South America	Brazil	Amazonas	Benjamin Constant	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997593	DENV2	II-Cosmopolitan	2022-10-19	South America	Brazil	Amazonas	Benjamin Constant	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997594	DENV2	II-Cosmopolitan	2022-10-18	South America	Brazil	Amazonas	Benjamin Constant	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997595	DENV2	II-Cosmopolitan	2022-10-18	South America	Brazil	Amazonas	Benjamin Constant	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997596	DENV2	II-Cosmopolitan	2022-11-04	South America	Brazil	Amazonas	Atalaia do Norte	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997597	DENV2	II-Cosmopolitan	2022-11-03	South America	Brazil	Amazonas	Atalaia do Norte	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997598	DENV2	II-Cosmopolitan	2022-11-03	South America	Brazil	Amazonas	Atalaia do Norte	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997599	DENV2	II-Cosmopolitan	2022-11-01	South America	Brazil	Amazonas	Atalaia do Norte	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_15997600	DENV2	II-Cosmopolitan	2022-10-11	South America	Brazil	Amazonas	Atalaia do Norte	Human	Original	Serum		Illumina	BBMap 38.84 embedded in Geneious Prime v. 2022.2.2		
EPI_ISL_16073484	DENV2	II-Cosmopolitan	2022-11-20	Asia	China	Guangdong		Human	Original	Serum		Illumina	CLC Genomics Workbench v. 22.0		
EPI_ISL_16092157	DENV2	II-Cosmopolitan	2022-05-25	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092323	DENV2	II-Cosmopolitan	2020-09-23	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092324	DENV2	II-Cosmopolitan	2020-09-07	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092327	DENV2	II-Cosmopolitan	2020-03-02	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092328	DENV2	V-AsianI	2020-01-15	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092329	DENV2	V-AsianI	2019-12-16	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092331	DENV2	V-AsianI	2019-10-14	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092332	DENV2	V-AsianI	2019-09-09	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092333	DENV2	V-AsianI	2019-08-14	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092334	DENV2	II-Cosmopolitan	2019-08-14	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092335	DENV2	V-AsianI	2019-08-01	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092336	DENV2	II-Cosmopolitan	2019-07-31	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092340	DENV2	V-AsianI	2019-06-26	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092343	DENV2	II-Cosmopolitan	2019-06-07	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092345	DENV2	V-AsianI	2018-01-17	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16092346	DENV2	V-AsianI	2017-08-03	Asia	Vietnam			Human	Original	Plasma		Illumina	CLC v. 9		
EPI_ISL_16212210	DENV2	III-Asian-American	2019-07-08	South America	Brazil			Human	Original	Serum		Illumina	Geneious v. 9.1.4	Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_16212211	DENV2	III-Asian-American	2019-07-04	South America	Brazil			Human	Original	Serum		Illumina	Geneious v. 9.1.4	Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_16212212	DENV2	III-Asian-American	2019-06-15	South America	Brazil			Human	Original	Serum		Illumina	Geneious v. 9.1.4	Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_16215353	DENV2	III-Asian-American	2019-06-10	South America	Brazil			Human	Original	Serum		Illumina	Geneious v. 9.1.4	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_16215354	DENV2	III-Asian-American	2019-06-07	South America	Brazil			Human	Original	Serum		Illumina	Geneious v. 9.1.4	Insertion of 3 nucleotides when compared to the reference sequence.	info
EPI_ISL_16215355	DENV2	III-Asian-American	2019-02-20	South America	Brazil			Human	Original	Serum		Illumina	Geneious v. 9.1.4	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_16215356	DENV2	III-Asian-American	2019-02-15	South America	Brazil			Human	Original	Serum		Illumina	Geneious v. 9.1.4	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_16282284	DENV2	III-Asian-American	2019-04-15	South America	Brazil			Human	Original	Serum		Illumina	Geneious v. 9.1.4		
EPI_ISL_16312445	DENV2	III-Asian-American	2018-10-23	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312645	DENV2	III-Asian-American	2018-10-09	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312646	DENV2	III-Asian-American	2018-10-03	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312647	DENV2	III-Asian-American	2018-10-01	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312648	DENV2	III-Asian-American	2018-09-27	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312649	DENV2	III-Asian-American	2018-09-26	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312718	DENV2	III-Asian-American	2018-09-26	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312739	DENV2	III-Asian-American	2018-09-26	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312740	DENV2	III-Asian-American	2018-09-20	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312741	DENV2	III-Asian-American	2018-09-18	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312742	DENV2	III-Asian-American	2018-09-10	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312743	DENV2	III-Asian-American	2018-09-05	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312744	DENV2	III-Asian-American	2018-09-03	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312745	DENV2	III-Asian-American	2018-08-30	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312746	DENV2	III-Asian-American	2018-08-29	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312747	DENV2	III-Asian-American	2018-08-28	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312748	DENV2	III-Asian-American	2018-08-28	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312749	DENV2	III-Asian-American	2018-08-28	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312750	DENV2	III-Asian-American	2018-08-27	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312751	DENV2	III-Asian-American	2018-08-23	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312752	DENV2	III-Asian-American	2018-08-21	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312753	DENV2	III-Asian-American	2018-08-16	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312754	DENV2	III-Asian-American	2018-08-16	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312755	DENV2	III-Asian-American	2018-08-15	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312756	DENV2	III-Asian-American	2018-08-13	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312757	DENV2	III-Asian-American	2018-08-01	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312758	DENV2	III-Asian-American	2018-07-26	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312759	DENV2	III-Asian-American	2018-07-25	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312760	DENV2	III-Asian-American	2018-06-29	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312761	DENV2	III-Asian-American	2018-06-28	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_16312762	DENV2	III-Asian-American	2018-05-10	North America	Nicaragua	Leon		Human	Original	Serum		Illumina	Genome Detective v. 2.48		
EPI_ISL_17409814	DENV2	II-Cosmopolitan	1983-01-01	Africa	Burkina Faso			Human	Original			unknown			
EPI_ISL_17410322	DENV2	II-Cosmopolitan	2005-01-01	Asia	Singapore			Human	Original			unknown			
EPI_ISL_17410337	DENV2	II-Cosmopolitan	2005-01-01	Asia	Singapore			Human	Original			unknown			
EPI_ISL_17410338	DENV2	II-Cosmopolitan	2005-01-01	Asia	Singapore			Human	Original			unknown			
EPI_ISL_17410339	DENV2	II-Cosmopolitan	2005-01-01	Asia	Singapore			Human	Original			unknown			
EPI_ISL_17410441	DENV2	IV-AsianII	2004-01-01	Asia	Sri Lanka			Human	Original			unknown			
EPI_ISL_17410444	DENV2	IV-AsianII	2003-01-01	Asia	Sri Lanka			Human	Original			unknown			
EPI_ISL_17410515	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410516	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410517	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410518	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410522	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410523	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410524	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410527	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410529	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410530	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410531	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410544	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410545	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410546	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410547	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410548	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410549	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410550	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410551	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410552	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410553	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410554	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410555	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410557	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410558	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410559	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410560	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410561	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410562	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410564	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410567	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410570	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410571	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410572	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410573	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410574	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17410575	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410578	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410581	DENV2	V-AsianI	2001-01-01	Asia	Thailand			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410613	DENV2	III-Asian-American	2007-01-01	North America	Jamaica			Human	Original			unknown			
EPI_ISL_17410635	DENV2	III-Asian-American	2005-01-01	North America	Mexico	Hidalgo		Human	Original			unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410641	DENV2	III-Asian-American	2002-01-01	North America	Mexico	Oaxaca		Human	Original			unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410650	DENV2	III-Asian-American	2000-01-01	North America	Nicaragua			Human	Original			unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410651	DENV2	III-Asian-American	2000-01-01	North America	Nicaragua			Human	Original			unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410653	DENV2	III-Asian-American	2000-01-01	North America	Nicaragua			Human	Original			unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 3 nucleotides when compared to the reference sequence.	info
EPI_ISL_17410654	DENV2	III-Asian-American	2000-01-01	North America	Nicaragua			Human	Original			unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
